매장명,주소,위도,경도
가산디지털단지역점,서울시 금천구 가산동 60-3,37.4809759369676,126.886340078726
가산안양천점,"서울 금천구 가산 디지털2로 127-143, 101호",37.4785697268456,126.876833912174
가산어반워크점,"서울시 금천구 가산디지털2로 135, 1동 142호",37.4800207661549,126.878015828177
가산우림라이온스점,"서울특별시 금천구 가산디지털1로 168, B동 B131호",37.479966429878,126.88263620024
가산파트너스타워점,"서울특별시 금천구 가산디지털1로 83, 103호-1",37.4732207718169,126.884298623646
강남구청점,서울 강남구 청담동 45-4,37.5184554154594,127.046626340066
강남대로점,서울 서초구 강남대로 359 대우도시의빛2 102호,37.4947989581217,127.02860980273
강남역사거리점,서울특별시 강남구 역삼동 820-10,37.4988969456862,127.027730637132
강남역아라타워점,"서울시 서초구 서초대로 77길 3, 1층 125호 126-1호",37.4980609129976,127.026504807476
강남역점,서울 강남구 역삼동822-7,37.4989745356109,127.029534533648
강남우성점,서울시 강남구 역삼동 837번지 1층 104호,37.4915812593356,127.03118921694
강남점,"서울 강남구 테헤란로4길 46 (역삼동 826-37) 쌍용 플래티넘, 1층",37.4955481444177,127.03006467392
강남효성점,서울 강남구 역삼동 825-24,37.4970271316319,127.029768983775
강동역점,서울 강동구 천호동 447,37.5357790488933,127.134127554194
강릉입암점,강원특별자치도 강릉시 성덕포남로 52,37.7597603000512,128.91953347658
거여역점,서울특별시 송파구 거여동 37-6,37.4933619945442,127.144872582975
건대역점,서울 광진구 아차산로 221 (화양동 7-4),37.5410359042988,127.068222586494
건대점,서울시 광진구 화양동 34-74,37.5441756886041,127.069490534951
경희대점,서울 동대문구 경희대로4길 1,37.5926132446027,127.052707139065
계명대학교동산병원점,"대구광역시 달서구 달구벌대로 1035, 지하1층",35.8539564853872,128.480225817638
계양구청점,"인천광역시 계양구 도두리로 25, 107호",37.5341523805068,126.73711763285
고덕비즈밸리점,"서울특별시 강동구 고덕비즈밸리로4길 35, 1층 106호(고덕동, 디엠스퀘어)",37.5676539372864,127.160597185234
공덕역점,서울특별시 마포구 백범로 202 마포케이씨씨웰츠타워 1층,37.5428481347733,126.952468627776
공주대점,충청남도 공주시 흑수골길 13,36.473936422265,127.138911193805
과천어반허브점,"경기도 과천시 과천대로7나길 60, 1층 A-125호",37.4178531149283,126.975044232778
광교법조타운점,경기도 수원시 영통구 하동 983-4,37.2928426945182,127.068628375067
교대사거리점,서울 서초구 서초동 1598-1,37.488067806356,127.014145713321
교대역점,서울 서초구 반포대로30길 82,37.4925670315978,127.012979366428
교육개발원사거리점,서울 서초구 강남대로27길 7-21 1층,37.4782508905852,127.038086134734
구래역점,"경기도 김포시 솔터로 22, 301동 186호",37.6454292192718,126.630857571038
구로비즈메트로점,서울시 구로구 구로동 851번지 한화비즈메트로1차 109호,37.4807820294931,126.892787539903
구로에이스점,"서울특시 구로구 디지털로 273, 1층 102호(구로동, 에이스트윈타워 2차)",,
구로우림점,서울 구로구 디지털로33길 28 우림이비즈센터1차 118호,37.4869823311106,126.895314838586
구로지플러스점,서울시 구로구 구로동 222-31,37.483068687607,126.897755585724
구월점,"인천광역시 남동구 인하로 489번길 10, 104호",37.4440208642924,126.701282448506
국기원사거리점,서울 강남구 테헤란로8길 26 (역삼동827-48),37.4971917795382,127.031715700902
